timestamp,open,high,low,close,volume
2018-11-29,122.4400,123.1208,121.4000,121.4800,5200113
2018-11-28,121.0100,123.0900,120.2200,123.0000,5104520
2018-11-27,118.3800,120.0400,118.3700,120.0300,4903771
2018-11-26,118.3700,120.2500,118.0600,119.5600,5011130
2018-11-23,118.0900,118.3382,116.9100,117.1900,2334730
2018-11-21,117.6100,119.5100,117.3900,118.5700,5335842
2018-11-20,118.4900,119.4900,116.6955,117.2000,6233777
2018-11-19,121.6300,122.1800,119.7700,120.3100,4131238
2018-11-16,120.8900,121.8500,120.5405,121.5700,4076315
2018-11-15,119.6600,121.4400,119.5100,121.4400,5207973
2018-11-14,121.1100,121.9300,119.7700,120.2000,4762275
2018-11-13,121.1900,122.2505,119.9000,120.8400,4084385
2018-11-12,123.5000,123.5700,120.6500,120.9000,5379113
2018-11-09,123.6100,124.5700,121.9600,123.5400,6961902
2018-11-08,122.6600,124.4040,122.6300,123.3800,10396439
2018-11-07,123.7900,125.0600,122.3300,124.8400,12382666
2018-11-06,120.7000,123.8100,120.3100,123.1200,9597392
2018-11-05,116.1000,120.7700,116.0000,120.0600,9144598
2018-11-02,117.5100,117.7500,114.5384,115.6700,10592681
2018-11-01,115.5000,117.0000,115.1100,116.8300,13626730
2018-10-31,116.4900,116.5000,114.0900,115.4300,21644978
2018-10-30,120.4800,121.5000,115.1500,115.4000,21458594
2018-10-29,119.3400,123.9500,118.3000,119.6400,20450448
2018-10-26,125.2100,125.7800,123.7100,124.7900,8767029
2018-10-25,127.2500,127.7900,125.1400,126.4500,10304327
2018-10-24,131.1700,131.6900,127.0000,127.2100,5710320
2018-10-23,129.0200,131.9000,128.4100,131.2100,6463580
2018-10-22,129.5800,130.4379,128.4000,130.0200,5719518
2018-10-19,130.6500,131.8900,127.9600,129.1000,7791636
2018-10-18,132.7300,133.4000,130.0400,130.5500,10011678
2018-10-17,135.8900,137.1500,133.4200,134.0500,19464000
2018-10-16,142.9300,145.4500,141.5800,145.1200,8695489
2018-10-15,140.3800,142.2600,140.1400,141.1300,4965533
2018-10-12,141.1200,141.5400,139.0800,140.8500,6563403
2018-10-11,142.6200,144.1900,138.7800,139.0200,8710491
2018-10-10,147.5000,147.6900,142.5000,142.6900,5547697
2018-10-09,148.0800,148.3600,146.9300,147.2400,3642496
2018-10-08,148.5000,149.0700,147.1800,148.3900,3239347
2018-10-05,150.9000,151.7900,147.8700,149.0300,4602252
2018-10-04,151.6900,152.8000,150.3600,151.3100,4238143
2018-10-03,154.0000,154.3600,152.8000,153.2200,3315298
2018-10-02,152.9900,153.8400,152.5000,153.7500,3030125
2018-10-01,151.7100,153.4200,151.7100,153.0000,3757419
2018-09-28,151.1600,151.6250,150.7900,151.2100,3305798
2018-09-27,152.0100,152.3888,151.1600,151.5000,3477643
2018-09-26,152.4000,153.3500,151.3400,151.6100,7401862
2018-09-25,149.9100,150.4100,148.3600,148.9100,4397457
2018-09-24,151.1000,151.2000,149.4600,150.0300,4264984
2018-09-21,151.4800,152.6000,150.7400,151.3500,19947878
2018-09-20,149.5800,151.3800,149.4400,151.1500,5952223
2018-09-19,148.6300,149.9599,148.2300,149.0600,4246382
2018-09-18,147.7600,148.9850,147.4700,148.5600,3629596
2018-09-17,148.4400,149.0700,147.7700,147.9400,3551882
2018-09-14,148.8500,149.3000,147.7800,148.3300,3452144
2018-09-13,147.3500,149.0000,147.1179,148.9500,5346540
2018-09-12,146.3700,147.9800,146.0300,146.5700,4506679
2018-09-11,146.0000,146.9900,145.2500,146.4900,3374774
2018-09-10,146.6000,147.3000,145.5600,145.6500,3618209
2018-09-07,145.9400,146.5031,145.1200,145.4500,4693127
2018-09-06,146.8800,147.6600,145.5400,146.3900,4248831
2018-09-05,145.1900,146.7500,145.0500,146.6600,3126540
2018-09-04,145.9800,146.1900,144.8100,145.6800,3326153
2018-08-31,145.7200,146.7800,145.5401,146.4800,3488476
2018-08-30,147.0300,147.3000,145.2500,145.9300,3340369
2018-08-29,146.8700,147.9300,146.6000,147.5400,3153845
2018-08-28,146.9500,146.9900,146.1900,146.5900,2455328
2018-08-27,146.9400,147.6200,146.5200,146.6900,3491565
2018-08-24,145.4600,146.0869,144.8700,146.0400,2776813
2018-08-23,145.0400,145.5200,144.7500,145.3700,2220603
2018-08-22,146.0100,146.1600,145.1900,145.2400,2388961
2018-08-21,147.0000,147.1200,145.8900,145.9700,3106876
2018-08-20,146.3700,147.1600,146.1500,146.5100,2499654
2018-08-17,144.7900,146.3900,144.6900,146.0600,2678820
2018-08-16,144.3700,145.6800,144.3700,145.3400,5250878
2018-08-15,142.5500,144.0000,142.0000,143.9100,4241496
2018-08-14,143.0000,143.8200,142.9300,143.3600,2860041
2018-08-13,144.1500,144.3000,142.5300,142.7100,2858842
2018-08-10,144.5000,145.0700,143.8800,144.4800,3003158
2018-08-09,145.5300,145.9400,144.7300,144.7700,3093504
2018-08-08,147.3300,147.4300,146.2400,146.8900,3581746
2018-08-07,146.6500,147.6400,146.3500,147.0100,3508758
2018-08-06,146.9500,147.2000,145.5700,146.0300,3913743
2018-08-03,143.2400,147.9200,143.0000,147.7000,8053567
2018-08-02,142.8600,143.3600,142.3300,142.9600,3841447
2018-08-01,144.7600,145.1900,143.3400,143.5000,3388386
2018-07-31,145.7400,145.8000,144.1590,144.9300,5474478
2018-07-30,144.8000,146.2400,144.6900,145.4900,3608283
2018-07-27,146.8900,147.1400,144.6600,145.1500,3749642
2018-07-26,147.4300,149.2700,146.6300,146.7100,4778022
2018-07-25,146.0100,146.6500,145.5000,146.6200,3623182
2018-07-24,146.7000,147.0400,145.9200,146.3800,3891625
2018-07-23,146.3500,146.7000,145.0150,145.7000,3897892
2018-07-20,148.5800,148.8600,146.2600,146.3500,6415972
2018-07-19,147.8500,150.5400,147.2500,149.2400,14655804
2018-07-18,143.5100,144.8000,142.7351,144.5200,6935288
2018-07-17,144.7500,145.0000,143.3400,143.4900,5096741
2018-07-16,145.6700,145.7900,144.2100,145.4600,3468817
2018-07-13,146.4500,146.9799,145.8000,145.9000,3067638
2018-07-12,145.8500,146.8300,145.7400,146.4500,3119505
2018-07-11,144.0000,146.1900,144.0000,144.9400,3526565
2018-07-10,144.5100,145.5900,144.2550,144.7100,3776991
2018-07-09,142.5900,144.7200,142.4700,144.3900,3904652
2018-07-06,141.5300,142.9400,141.1700,142.4800,2910426
2018-07-05,140.4800,141.4300,139.9300,141.4300,3744730
2018-07-03,140.6500,140.9400,139.3678,139.5700,1963232
2018-07-02,138.2800,140.2200,138.2000,139.8600,3405642
2018-06-29,140.3200,141.3590,139.6100,139.7000,3753684
2018-06-28,138.1000,140.5400,137.9450,140.0400,4523666
2018-06-27,139.1100,139.7800,137.4500,137.4800,4097588
2018-06-26,139.3600,139.8499,138.3300,139.0800,4139455
2018-06-25,140.4000,140.4000,138.2800,138.7900,8937085
2018-06-22,141.6400,141.8100,140.7800,141.2800,6013678
2018-06-21,142.5900,143.1400,140.8300,141.2500,3887650
2018-06-20,144.2200,144.5200,142.4100,142.6300,3329917
2018-06-19,143.1200,144.2200,142.9500,143.9000,3487015
2018-06-18,144.1800,144.5200,143.1400,144.4800,4286406
2018-06-15,144.9000,145.4700,143.7000,145.3900,9116048
2018-06-14,146.6500,146.9800,145.0900,145.2000,3326343
2018-06-13,146.7900,147.4700,146.2000,146.3500,2968180
2018-06-12,147.1000,147.5200,146.6200,146.8700,2640515
2018-06-11,146.6200,147.4100,146.1400,146.5800,3259986
2018-06-08,145.0000,146.4300,144.3700,146.1400,5210468
2018-06-07,145.0000,146.7000,144.9300,145.3600,4316484
2018-06-06,144.3400,144.7200,143.5400,144.7100,3220139
2018-06-05,143.0500,144.0800,143.0400,143.7000,2836017
2018-06-04,142.3000,143.1700,142.1800,143.0400,3035257
2018-06-01,142.4300,142.8400,141.6200,141.9500,3857530
2018-05-31,142.8100,142.8100,141.0500,141.3100,6830256
2018-05-30,141.9000,143.1000,141.8200,142.6200,5118530
2018-05-29,142.5300,142.8900,140.2100,141.2200,4537638
2018-05-25,143.9000,144.5700,143.4600,143.6400,4914294
2018-05-24,144.3900,144.4800,142.9500,144.0700,3398701
2018-05-23,144.3500,144.7000,143.4800,144.6700,3459747
2018-05-22,145.5200,146.2040,145.0000,145.0900,2284020
2018-05-21,144.9500,146.0400,144.6800,145.4900,2894698
2018-05-18,144.4700,144.9400,143.9900,144.0800,2682243
2018-05-17,144.5000,145.1900,143.7700,144.5000,3147659
2018-05-16,143.7000,145.0275,143.2700,144.6300,3168659
2018-05-15,143.5000,143.9900,142.9200,143.7400,4089397
2018-05-14,144.4700,145.1200,144.1400,144.3000,3216062
2018-05-11,144.1100,144.8500,143.5800,144.1400,3073167
2018-05-10,143.1500,144.3300,143.0100,144.2400,3726608
2018-05-09,141.9000,143.0200,141.2800,142.6100,4195953
2018-05-08,143.0000,143.5070,142.0600,143.0000,5369119
2018-05-07,144.0000,144.3200,142.6403,143.2200,3657009
2018-05-04,141.1000,144.3500,140.2800,143.9100,4402170
2018-05-03,142.1300,142.2300,139.9000,141.9900,5018592
2018-05-02,144.4600,144.8200,142.0700,142.4500,5194917
2018-05-01,144.6500,145.0200,143.4700,145.0000,4433393
2018-04-30,146.8600,147.3800,144.9600,144.9600,4415533
2018-04-27,146.8400,147.2500,145.6600,146.4800,3205482
2018-04-26,146.6000,147.3600,146.2000,146.7200,4265812
2018-04-25,145.7900,146.4000,144.1110,145.9400,7324654
2018-04-24,146.5100,147.3000,144.5300,145.5600,4916476
2018-04-23,145.0300,145.9600,144.3300,145.8600,5315625
2018-04-20,147.9000,147.9700,144.5100,144.9000,8265643
2018-04-19,149.1900,149.2072,146.6200,147.7000,8086056
2018-04-18,152.1400,152.6300,148.2600,148.7900,20381695
2018-04-17,158.8200,162.0000,158.5100,160.9100,10207534
2018-04-16,157.9900,159.1400,157.6700,157.8900,4186755
2018-04-13,158.6700,159.2200,155.9100,156.7100,4057058
2018-04-12,156.7500,158.9800,156.6700,158.0700,5639444
2018-04-11,154.3700,155.7800,153.8800,155.3600,3306539
2018-04-10,155.0300,156.6050,154.7500,155.3900,3955952
2018-04-09,151.8000,154.6600,151.7433,152.6900,4413178
2018-04-06,153.4600,153.9500,149.5400,150.5700,3672919
2018-04-05,154.4400,154.9200,153.3400,154.0300,3185388
2018-04-04,147.8900,154.4700,147.4500,154.1200,4805261
2018-04-03,150.8000,151.0000,148.3000,149.8500,4135696
2018-04-02,153.3400,153.3800,148.4300,150.0700,5150435
2018-03-29,153.0700,153.8900,151.0800,153.4300,3419959
2018-03-28,152.0700,153.8600,151.8900,152.5200,3664826
2018-03-27,153.9500,154.8697,151.1600,151.9100,3810994
2018-03-26,151.2100,153.6570,150.2800,153.3700,4038586
2018-03-23,152.2500,152.5800,148.5410,148.8900,4389015
2018-03-22,155.0000,155.2499,152.0000,152.0900,4617371
2018-03-21,156.5700,158.2000,155.9200,156.6900,3240695
2018-03-20,157.5200,157.9300,155.2900,156.2000,4296935
2018-03-19,159.7100,159.8899,156.4500,157.3500,5415258
2018-03-16,160.0600,161.9800,159.6400,160.2600,8447294
2018-03-15,158.7100,161.2500,158.5200,159.6100,3860479
2018-03-14,160.1700,160.6800,157.7400,158.1200,3614293
2018-03-13,160.0900,162.1122,158.8100,159.3200,4097662
2018-03-12,159.6400,161.0200,158.8700,160.2600,5056489
